RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GPV/RPF/SGP;GROENLINKS;De Groenen;SP (Socialistische Partij);Centrumdemocraten;Een Betere Toekomst;Lijst de Groen
Duiveland;G0662;11237;Zeeland;P29;4174;1856;4;;1852;314;289;328;135;755;2;14;7;6;2;
Duiven;G0226;11028;Gelderland;P25;16931;5539;15;;5524;1832;1285;1082;886;112;152;91;32;43;6;3
Dussen;G0769;10261;Noord-Brabant;P30;4791;1586;3;;1583;613;289;243;178;172;25;20;11;25;6;1
Dwingeloo;G0112;10331;Drenthe;P22;3054;1597;6;;1591;405;503;395;156;41;28;49;8;3;3;
Echt;G0902;10941;Limburg;P31;14779;5548;50;;5498;3100;781;358;803;35;241;55;22;79;16;8
Echteld;G0227;10832;Gelderland;P25;5094;1933;5;;1928;332;576;377;135;455;16;20;6;8;2;1
Edam-Volendam;G0385;10884;Noord-Holland;P27;19333;5376;10;;5366;2217;1267;1158;330;77;111;80;16;76;24;10
Ede;G0228;10743;Gelderland;P25;71152;32032;77;;31955;8965;4203;5558;2710;8576;763;572;155;345;81;27
Eelde;G0113;10622;Drenthe;P22;8389;3850;3;;3847;606;1184;1121;568;67;80;186;10;15;2;6
Eemnes;G0317;10248;Utrecht;P26;5839;2537;8;;2529;740;453;679;314;167;78;62;13;22;1;
Eemsmond;G1651;10246;Groningen;P20;12365;5875;16;;5859;1728;1726;704;299;933;114;273;46;25;7;4
Eersel;G0770;10741;Noord-Brabant;P30;9332;3718;11;;3707;1862;620;565;429;34;82;46;20;21;15;13
Egmond;G0357;10421;Noord-Holland;P27;9181;3202;2;;3200;1151;713;688;365;24;93;84;21;46;8;7
Eibergen;G0229;10436;Gelderland;P25;12402;5459;9;;5450;2658;1326;663;397;53;119;131;37;28;4;34
Eijsden;G0905;10314;Limburg;P31;8960;3228;9;;3219;1545;539;393;542;19;92;32;23;15;17;2
Eindhoven;G0772;11298;Noord-Brabant;P30;154076;48564;119;;48445;16282;10947;7473;7304;960;2388;1019;1120;554;159;239
Elburg;G0230;11113;Gelderland;P25;15379;6942;11;;6931;1921;667;820;345;2945;68;68;29;41;14;13
Elst;G0231;11188;Gelderland;P25;14551;4732;6;;4726;1676;972;868;778;123;123;103;24;18;11;30
Emmen;G0114;11180;Drenthe;P22;72751;22365;39;;22326;7642;7255;2639;2098;1058;433;693;362;99;28;19
Enkhuizen;G0388;10729;Noord-Holland;P27;11997;4485;10;;4475;1106;1338;706;570;329;216;112;48;35;9;6
Enschede;G0153;10364;Overijssel;P23;113481;37287;185;;37102;9326;10253;5880;4598;2748;1587;899;533;314;75;889
Epe;G0232;10940;Gelderland;P25;25910;10877;38;;10839;3122;2526;2322;1056;1298;194;152;45;86;19;19
Ermelo;G0233;10732;Gelderland;P25;19764;9035;16;;9019;3375;872;1498;678;2097;189;155;95;49;10;1
Esch;G0776;10709;Noord-Brabant;P30;1540;644;1;;643;360;99;81;66;8;6;11;2;5;4;1
Etten-Leur;G0777;10750;Noord-Brabant;P30;25299;7319;39;;7280;2688;1546;1323;1131;81;192;105;110;79;21;4
Ferwerderadeel;G0068;11284;Fryslân;P21;6520;2561;9;;2552;1267;509;278;119;261;28;70;12;5;1;2
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;4922;1582;0;;1582;632;407;274;117;64;33;34;5;11;4;1
Franekeradeel;G0070;10404;Fryslân;P21;15373;6318;24;;6294;2438;1714;847;468;399;146;172;52;36;9;13
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7090;3208;7;;3201;1603;536;384;198;313;55;93;6;10;1;2
Gasselte;G0115;11099;Drenthe;P22;3348;1262;6;;1256;228;542;250;116;43;33;31;6;5;2;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;5068;1411;2;;1409;495;364;222;229;18;27;12;19;9;12;2
Geldermalsen;G0236;10881;Gelderland;P25;17228;6481;10;;6471;1628;1281;1385;671;1052;128;155;51;94;15;11
Geldrop;G0781;10529;Noord-Brabant;P30;20646;6707;9;;6698;2598;1390;1058;1018;110;207;137;90;42;19;29
Geleen;G0906;10048;Limburg;P31;26908;8501;17;;8484;3671;1694;886;866;85;963;89;81;109;29;11
Gemert;G0782;10277;Noord-Brabant;P30;13885;4669;22;;4647;2408;928;503;458;20;105;108;68;31;10;8
Gendringen;G0237;10260;Gelderland;P25;15601;5698;15;;5683;3229;1114;576;459;51;96;79;28;34;13;4
Gendt;G0238;10440;Gelderland;P25;5352;1670;8;;1662;737;451;214;186;11;22;27;6;5;2;1
Genemuiden;G0154;10746;Overijssel;P23;5447;2319;2;;2317;486;245;148;46;1360;12;3;4;8;1;4
Gennep;G0907;10542;Limburg;P31;12821;4060;11;;4049;1901;863;540;442;30;108;67;37;42;8;11
Giessenlanden;G0689;10255;Zuid-Holland;P28;10594;5371;14;;5357;1317;1083;1137;492;1145;56;55;22;41;9;
Gieten;G0116;10506;Drenthe;P22;4699;2135;9;;2126;281;847;616;222;31;35;72;12;6;2;2
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;17552;5464;12;;5452;2255;1091;873;806;43;93;100;86;78;14;13
Goedereede;G0511;10981;Zuid-Holland;P28;8201;4024;18;;4006;821;445;513;164;1967;25;24;15;23;6;3
Goes;G0664;10674;Zeeland;P29;25865;9134;25;;9109;2562;1660;1365;1190;1673;267;224;53;77;18;20
Goirle;G0785;10971;Noord-Brabant;P30;14251;4592;8;;4584;1674;1033;692;681;56;193;120;99;17;10;9
Goor;G0156;10076;Overijssel;P23;9301;3632;7;;3625;1211;1139;640;347;79;56;40;56;20;4;33
Gorinchem;G0512;10942;Zuid-Holland;P28;23098;7726;44;;7682;1587;2257;1528;993;798;203;123;68;103;17;5
Gorssel;G0239;10085;Gelderland;P25;10755;5157;17;;5140;1548;1029;1562;631;96;75;141;14;23;5;16
Gouda;G0513;10302;Zuid-Holland;P28;50622;18996;57;;18939;4098;4687;3339;2597;2251;866;483;161;382;52;23
Graafstroom;G0693;10451;Zuid-Holland;P28;6696;3729;10;;3719;1150;388;434;165;1486;32;21;12;25;5;1
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4693;2791;841;;1950;512;544;547;195;15;55;37;17;17;10;1
Gramsbergen;G0157;11339;Overijssel;P23;4625;2257;8;;2249;1106;542;223;103;211;12;27;11;9;3;2
Grave;G0786;10165;Noord-Brabant;P30;9187;3278;10;;3268;1352;680;500;429;23;110;58;70;21;22;3
Groenlo;G0240;11094;Gelderland;P25;6919;2649;6;;2643;1414;482;327;214;14;40;45;9;18;7;73
Groesbeek;G0241;10616;Gelderland;P25;14789;4897;18;;4879;2086;1333;538;441;59;215;108;40;34;17;8
Groningen;G0014;10426;Groningen;P20;142419;53997;101;;53896;8172;16906;7450;7333;4222;4694;2961;1692;276;102;88
Grootegast;G0015;11080;Groningen;P20;8356;3456;6;;3450;1747;489;303;164;607;30;88;7;12;2;1
Grubbenvorst;G0912;10176;Limburg;P31;5238;1897;4;;1893;1002;274;334;202;1;22;20;11;24;1;2
Gulpen;G0913;11032;Limburg;P31;6078;2344;22;;2322;1137;461;225;306;21;62;30;22;30;18;10
Haaksbergen;G0158;11435;Overijssel;P23;17736;6864;15;;6849;3506;1273;984;647;64;107;114;38;30;14;72
Haaren;G0788;11155;Noord-Brabant;P30;4065;1535;2;;1533;844;208;233;150;8;37;35;7;9;2;
Haarlem;G0392;10357;Noord-Holland;P27;116605;38085;93;;37992;8637;11293;6928;5239;1080;2421;1528;312;392;89;73
