RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;Europa Transparant;SP (Socialistische Partij);CU_SGP;Democraten 66 (D66);Partij voor de Dieren;Lijst Pim Fortuyn;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu
Arcen en Velden;G0885;10202;Limburg;P31;6692;2625;;1;2624;1417;430;221;118;166;105;10;67;31;47;1;4;4;2;1
Arnhem;G0202;10795;Gelderland;P25;107212;38918;;132;38786;6309;10718;4387;5044;2675;3985;864;2051;1635;805;26;137;59;68;23
Assen;G0106;10522;Drenthe;P22;46500;21169;;46;21123;3594;7159;2320;1512;971;1420;2159;762;453;333;357;38;15;13;17
Asten;G0743;10478;Noord-Brabant;P30;12146;5822;;12;5810;1475;630;2493;211;342;336;11;119;78;85;4;10;9;4;3
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;5126;2017;;1;2016;937;280;214;68;219;121;4;57;54;51;2;1;3;3;2
Baarn;G0308;11411;Utrecht;P26;18337;8541;;15;8526;1974;1605;1570;680;664;458;435;423;355;267;6;43;18;22;6
Barendrecht;G0489;10943;Zuid-Holland;P28;27732;10813;;9;10804;2476;1944;1545;566;975;624;1421;421;301;437;6;44;24;14;6
Barneveld;G0203;10906;Gelderland;P25;35007;16544;;35;16509;5448;1315;1616;425;709;391;5694;248;234;315;12;51;26;12;13
Bathmen;G0144;11030;Overijssel;P23;4117;1919;;3;1916;457;444;458;118;140;86;15;86;64;36;2;4;1;5;0
Bedum;G0005;10425;Groningen;P20;8061;4151;;6;4145;1268;958;285;231;141;212;609;111;85;33;191;5;4;6;6
Beek;G0888;11374;Limburg;P31;13217;5308;;8;5300;2750;890;457;246;362;240;24;140;91;79;1;6;5;3;6
Beemster;G0370;10816;Noord-Holland;P27;6472;2907;;4;2903;596;722;671;165;251;167;10;110;106;83;1;9;8;0;4
Beesel;G0889;10195;Limburg;P31;10150;3420;;5;3415;1680;699;279;138;201;161;6;85;63;71;2;13;12;2;3
Bellingwedde;G0007;10340;Groningen;P20;7560;3251;;3;3248;433;1480;421;155;143;195;75;54;113;72;96;4;2;2;3
Bennebroek;G0372;10734;Noord-Holland;P27;4052;2245;;2;2243;624;337;539;136;239;69;17;121;102;36;2;4;2;9;6
Bergambacht;G0491;10962;Zuid-Holland;P28;6897;3524;;3;3521;721;787;472;131;188;148;783;78;80;104;0;17;7;3;2
Bergeijk;G1724;11160;Noord-Brabant;P30;13613;5214;;21;5193;2135;843;727;199;574;289;27;127;112;111;5;15;12;12;5
Bergen;G0893;11281;Limburg;P31;10176;3280;;5;3275;1733;603;252;113;179;173;2;56;63;75;1;12;3;4;6
Bergen;G0373;11424;Noord-Holland;P27;24641;10917;;24;10893;2129;2377;2056;1018;1242;578;71;505;506;285;19;40;30;30;7
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;48789;15494;;66;15428;3546;3523;2149;782;2446;1086;145;579;464;513;12;90;45;32;16
Bergh;G0207;10350;Gelderland;P25;14062;4716;;6;4710;1726;1162;634;179;328;253;25;137;119;103;4;16;12;10;2
Bergschenhoek;G0492;10445;Zuid-Holland;P28;11049;4444;;9;4435;1172;665;971;205;336;154;325;214;125;206;1;34;14;7;6
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;13059;5878;;9;5869;1833;854;840;300;436;243;653;246;164;252;5;22;12;6;3
Bernheze;G1721;10149;Noord-Brabant;P30;21560;7936;;15;7921;3449;1326;823;290;504;947;22;234;132;140;5;22;5;15;7
Bernisse;G0568;10316;Zuid-Holland;P28;9764;3858;;12;3846;937;828;692;154;334;212;166;161;147;162;4;28;10;7;4
Best;G0753;10442;Noord-Brabant;P30;21172;7907;;34;7873;2173;1681;1306;358;686;551;187;462;192;188;8;37;22;11;11
Beuningen;G0209;10417;Gelderland;P25;18761;6380;;6;6374;1812;1764;777;411;470;455;60;260;160;151;5;19;15;9;6
Beverwijk;G0375;10272;Noord-Holland;P27;27869;9427;;25;9402;1792;2873;1205;740;738;703;108;366;404;355;9;52;24;26;7
Binnenmaas;G0585;10222;Zuid-Holland;P28;15102;6254;;12;6242;1349;1299;1025;286;632;340;622;214;168;230;2;42;17;10;6
Bladel;G1728;11006;Noord-Brabant;P30;14444;5230;;13;5217;2048;864;707;192;573;400;29;162;92;92;6;23;14;11;4
Blaricum;G0376;10493;Noord-Holland;P27;7167;3660;;4;3656;681;610;1009;229;351;149;33;244;212;89;0;11;11;15;12
Bleiswijk;G0495;10994;Zuid-Holland;P28;7456;3290;;6;3284;1041;444;634;121;286;100;251;127;99;142;0;15;14;8;2
Bloemendaal;G0377;10850;Noord-Holland;P27;12803;7545;;9;7536;1504;1000;2203;620;739;204;58;522;426;130;2;14;9;104;1
Boarnsterhim;G0055;10815;Fryslân;P21;14597;6678;;6;6672;1154;2626;956;402;360;303;96;219;129;97;297;17;7;6;3
Bodegraven;G0497;11091;Zuid-Holland;P28;14185;6060;;11;6049;1830;885;803;303;444;264;1012;186;150;133;3;16;6;9;5
Boekel;G0755;10432;Noord-Brabant;P30;6869;2723;;4;2719;1400;428;219;80;154;223;7;60;40;83;6;8;3;5;3
Bolsward;G0064;10865;Fryslân;P21;7093;2889;;3;2886;941;876;210;148;200;181;75;55;94;38;57;1;3;6;1
Borculo;G0211;11307;Gelderland;P25;7927;3826;;2;3824;954;1160;800;145;199;258;44;113;69;61;1;9;2;5;4
Borger-Odoorn;G1681;10448;Drenthe;P22;20335;8742;;13;8729;1751;3391;1290;424;433;377;267;211;195;134;215;10;10;10;11
Borne;G0147;10326;Overijssel;P23;15208;6473;;15;6458;2246;1611;835;320;513;371;74;233;100;129;4;5;5;7;5
Borsele;G0654;10043;Zeeland;P29;16532;7105;;3;7102;1683;1180;825;309;474;307;1649;203;266;140;4;28;15;13;6
Boskoop;G0499;10419;Zuid-Holland;P28;11202;5028;;10;5018;1514;712;827;304;378;237;486;229;139;158;4;15;7;7;1
Boxmeer;G0756;11227;Noord-Brabant;P30;21944;8901;;13;8888;3501;1693;999;379;680;900;41;278;167;174;2;40;9;11;14
Boxtel;G0757;10083;Noord-Brabant;P30;22419;8318;;20;8298;2695;1811;851;532;734;883;43;340;174;170;3;26;17;14;5
Breda;G0758;10154;Noord-Brabant;P30;126925;45583;;144;45439;9302;9368;6648;3596;7531;3561;361;2408;1281;1012;20;136;86;80;49
Breukelen;G0311;10807;Utrecht;P26;10722;5108;;7;5101;1388;769;851;349;356;220;591;264;168;111;1;13;6;10;4
