RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Forum voor Democratie;GROENLINKS;Democraten 66 (D66);ChristenUnie/SGP;Partij voor de Dieren;50PLUS;PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Volt Nederland;DENK;vandeRegio & Piratenpartij;De Groenen;JEZUS LEEFT
Echt-Susteren;G1711;10941;Maastricht;K19;25761;9774;20;27;9727;2992;704;1930;1279;522;306;70;365;352;770;297;98;14;11;10;7
Edam-Volendam;G0385;10884;Den Helder;K11;28360;12281;18;21;12242;1719;1703;1546;3801;786;425;154;444;480;713;223;175;27;15;12;19
Ede;G0228;10743;Arnhem;K7;87828;42053;59;45;41949;4989;4964;5266;4112;3440;2002;11839;1165;1198;984;738;579;509;62;33;69
Eemnes;G0317;10248;Utrecht;K8;7120;3665;5;3;3657;772;777;492;429;242;262;152;151;146;96;67;61;1;4;4;1
Eersel;G0770;10741;'s-Hertogenbosch;K18;15222;6164;18;13;6133;1023;1028;1289;497;465;419;49;166;469;187;244;276;8;3;5;5
Eijsden-Margraten;G1903;11243;Maastricht;K19;20789;8851;16;11;8824;2866;913;1598;847;722;557;57;328;226;359;187;116;19;12;12;5
Eindhoven;G0772;11298;'s-Hertogenbosch;K18;165456;63767;125;197;63445;12354;8958;4937;5811;9535;6138;1081;2864;3376;1929;2885;2009;1148;203;147;70
Elburg;G0230;11113;Arnhem;K7;17600;8000;9;9;7982;681;781;1145;768;250;198;3404;123;211;210;132;42;2;5;1;29
Emmen;G0114;11180;Assen;K3;85340;28332;54;33;28245;6947;2746;4128;4255;1705;1152;1255;887;1258;1799;1557;306;105;51;33;61
Enkhuizen;G0388;10729;Den Helder;K11;14243;5767;17;10;5740;1342;810;508;710;496;349;282;253;321;209;318;87;36;6;6;7
Enschede;G0153;10364;Zwolle;K4;120035;44213;94;84;44035;8604;5368;5370;5299;5255;3470;2161;1575;1241;1753;1811;823;997;150;75;83
Epe;G0232;10940;Arnhem;K7;26489;11638;23;19;11596;2067;1871;1699;1305;760;577;1514;445;452;382;232;127;118;9;16;22
Ermelo;G0233;10732;Arnhem;K7;21135;10438;24;12;10402;1276;1305;1882;1106;644;419;2564;337;295;239;190;91;8;11;11;24
Etten-Leur;G0777;10750;Tilburg;K17;33478;11803;28;22;11753;2187;2105;1709;1480;942;762;150;344;650;554;477;166;180;20;15;12
Geertruidenberg;G0779;10101;Tilburg;K17;16958;5588;16;10;5562;999;970;818;814;395;293;68;179;356;330;225;84;12;7;4;8
Geldrop-Mierlo;G1771;10529;'s-Hertogenbosch;K18;30693;12223;23;23;12177;2543;1756;1484;1378;1172;833;184;437;1032;468;500;247;93;20;14;16
Gemert-Bakel;G1652;10277;'s-Hertogenbosch;K18;23394;8495;18;22;8455;1413;1054;1969;945;579;437;50;223;785;330;542;93;7;14;9;5
Gennep;G0907;10542;Maastricht;K19;13596;5262;9;12;5241;1421;645;864;585;356;263;31;196;192;199;374;78;24;4;4;5
Gilze en Rijen;G0784;11375;Tilburg;K17;20428;7576;20;16;7540;1663;1263;1081;904;531;522;65;229;431;308;287;102;115;12;17;10
Goeree-Overflakkee;G1924;11067;Dordrecht;K14;39182;18148;36;20;18092;2124;2345;1964;2426;598;434;5744;454;672;702;413;145;5;15;15;36
Goes;G0664;10674;Middelburg;K16;29958;12491;13;20;12458;2303;1519;1788;1181;1043;628;1830;512;504;413;448;189;23;41;16;20
Goirle;G0785;10971;Tilburg;K17;18687;7449;19;16;7414;1686;1254;937;745;712;637;38;279;365;249;328;136;19;10;13;6
Gooise Meren;G1942;10281;Haarlem;K10;42654;22917;60;45;22812;4280;5603;2253;1917;2313;2568;440;1040;701;474;321;751;63;38;35;15
Gorinchem;G0512;10942;Dordrecht;K14;27651;11000;38;26;10936;2055;1796;952;1255;923;701;1095;420;394;397;397;191;296;18;17;29
Gouda;G0513;10302;Leiden;K15;55072;25927;44;51;25832;4510;3030;2324;2622;3436;1901;3450;1110;983;831;710;495;276;55;53;46
Grave;G0786;10165;'s-Hertogenbosch;K18;9746;4090;4;4;4082;851;632;643;517;301;285;39;142;225;146;231;55;2;8;3;2
Groningen;G0014;10426;Groningen;K1;178998;84765;150;164;84451;18317;9347;5428;5388;18825;7912;4316;4779;1680;1528;3860;2266;205;267;216;117
Gulpen-Wittem;G1729;11032;Maastricht;K19;11888;5557;6;17;5534;1873;401;1106;516;414;193;60;252;167;296;151;76;1;7;12;9
Haaksbergen;G0158;11435;Zwolle;K4;19264;8441;18;23;8400;1347;1094;3086;856;376;424;118;156;289;223;201;65;142;9;14;0
Haaren;G0788;11155;'s-Hertogenbosch;K18;11506;4499;5;7;4487;884;770;983;364;373;348;32;154;209;141;129;78;1;8;10;3
Haarlem;G0392;10357;Haarlem;K10;117912;55663;127;89;55447;12915;7231;2985;4395;10360;5575;1010;3646;1716;1310;1602;1595;785;140;114;68
Haarlemmermeer;G0394;11387;Haarlem;K10;113235;45558;119;79;45360;7628;9079;4635;6913;3689;3314;1878;1800;2319;1764;1039;771;297;72;74;88
Halderberge;G1655;10397;Tilburg;K17;23644;7963;10;13;7940;1445;1493;1190;1218;449;443;78;225;421;462;333;104;46;15;8;10
Hardenberg;G0160;10174;Zwolle;K4;46692;19655;41;29;19585;2558;2157;5121;2179;772;579;3644;342;807;644;520;141;10;29;19;63
Harderwijk;G0243;10786;Arnhem;K7;35749;15640;37;27;15576;2273;2326;2221;1676;1172;780;2698;476;525;465;317;194;371;32;18;32
Hardinxveld-Giessendam;G0523;10167;Dordrecht;K14;13599;6517;11;7;6499;643;574;797;525;150;103;3071;95;191;185;94;34;8;7;1;21
Harlingen;G0072;10909;Leeuwarden;K2;12419;5027;11;9;5007;1229;681;641;703;378;183;265;231;190;182;225;74;3;10;5;7
Hattem;G0244;10673;Arnhem;K7;9416;4685;6;6;4673;842;628;864;382;294;267;982;105;110;61;80;34;7;5;3;9
Heemskerk;G0396;10679;Haarlem;K10;30617;12198;34;30;12134;2552;1764;1337;1659;1244;805;260;488;684;485;490;177;128;24;21;16
Heemstede;G0397;11288;Haarlem;K10;20654;12147;24;15;12108;2473;3160;1087;931;1316;1361;165;510;361;170;153;377;7;14;15;8
Heerde;G0246;10291;Arnhem;K7;14663;6517;14;5;6498;992;715;1198;665;359;249;1510;165;196;211;144;62;4;7;4;17
Heerenveen;G0074;10680;Leeuwarden;K2;39411;16615;25;26;16564;4447;2794;1860;1583;1410;950;858;655;432;487;703;208;107;30;18;22
Heerhugowaard;G0398;10752;Den Helder;K11;42192;15645;26;23;15596;3099;2748;1593;2135;1377;1007;397;589;843;574;692;296;146;38;25;37
Heerlen;G0917;10902;Maastricht;K19;69181;23110;47;38;23025;8091;1586;1795;3089;1339;686;235;1140;826;1765;2069;209;86;50;30;29
Heeze-Leende;G1658;10462;'s-Hertogenbosch;K18;12738;5654;15;16;5623;1127;1037;970;507;385;422;41;180;496;153;170;118;3;2;9;3
Heiloo;G0399;10793;Den Helder;K11;18731;10088;10;17;10061;2386;1897;1018;1002;1157;858;200;492;394;203;165;226;10;12;19;22
